date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:59	117/117	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Apr%202025%2011:34:59%20GMT	https://cellinteractive.jp/robots.txt		(from )
17:05:00	98845/98845	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Apr%202025%2011:34:59%20GMT	https://cellinteractive.jp/	D:/Figma/copy%20this%20site/cellinteractive.jp/index.html	(from )
17:05:00	4075/4075	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22feb-626b306703c67%22	https://cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/favicon.svg	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/favicon.svg	(from https://cellinteractive.jp/)
17:05:00	5460/5460	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221554-626b3066b894c%22	https://cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/favicon_white.svg	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/favicon_white.svg	(from https://cellinteractive.jp/)
17:05:00	6252/6252	---M--	200	added ('OK')	image/png	etag:%22186c-626b306684d30%22	https://cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/apple-touch-icon.png	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/images/common/apple-touch-icon.png	(from https://cellinteractive.jp/)
17:05:01	67979/67979	---MCZ	200	added ('OK')	text/css	etag:W/%221098b-626b3061470d1%22	https://cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/css/common.css	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/css/common.css	(from https://cellinteractive.jp/)
17:05:03	119273/119273	---MCZ	200	added ('OK')	text/css	etag:W/%221d1e9-626b30616070f%22	https://cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/css/style.css	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/themes/pj-wp_cellinteractive/dist/css/style.css	(from https://cellinteractive.jp/)
17:05:05	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%221c012-626c284dea172%22	https://cellinteractive.jp/_int/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://cellinteractive.jp/)
17:05:13	373799/373799	---MC-	200	added ('OK')	application/x-javascript	date:Tue,%2001%20Apr%202025%2000:00:00%20GMT	http://typesquare.com/3/tsst/script/ja/typesquare.js?62ac13c95dc848a7bdf5293fac1e02e5&auto_load_font=true	D:/Figma/copy%20this%20site/typesquare.com/3/tsst/script/ja/typesquare4afa.js	(from https://cellinteractive.jp/)
17:05:13	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22b4e-61e1e36a689c0%22	https://cellinteractive.jp/_int/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.8	D:/Figma/copy%20this%20site/cellinteractive.jp/_int/wp-content/plugins/contact-form-7/includes/css/stylese2db.css	(from https://cellinteractive.jp/)
